episode,timestep,reward,cost
1375,1376000,25.1867,-12.5
1377,1378000,23.7886,-93.0
1379,1380000,24.9391,-89.5
1381,1382000,23.0521,-88.0
1383,1384000,26.2459,-38.0
1385,1386000,24.3618,-49.0
1387,1388000,20.7796,-59.5
1389,1390000,22.1792,-71.0
1391,1392000,24.7288,-27.0
1393,1394000,21.6789,-84.5
1395,1396000,15.6704,-193.0
1397,1398000,24.3038,-37.5
1399,1400000,22.2511,-88.5
1401,1402000,23.2181,-38.0
1403,1404000,24.0166,-39.0
1405,1406000,18.4575,-246.0
1407,1408000,24.8614,-82.0
1409,1410000,23.3405,-57.5
1411,1412000,24.9576,-56.0
1413,1414000,24.9816,-37.5
1415,1416000,24.0736,-1.0
1417,1418000,24.7033,-45.0
1419,1420000,22.3084,-61.0
1421,1422000,24.8382,-99.5
1423,1424000,25.0679,-45.5
1425,1426000,25.9944,-63.5
1427,1428000,22.8694,-46.0
1429,1430000,18.7973,-22.0
1431,1432000,25.0348,-51.0
1433,1434000,24.0606,-87.0
1435,1436000,20.9396,-94.0
1437,1438000,23.3379,-92.0
1439,1440000,24.2879,-66.0
1441,1442000,21.492,-37.5
1443,1444000,23.4349,-20.5
1445,1446000,23.3287,-39.0
1447,1448000,24.8465,-111.5
1449,1450000,23.3936,-37.0
1451,1452000,23.314,-72.5
1453,1454000,23.053,-153.0
1455,1456000,24.1664,-59.0
1457,1458000,23.9578,-30.0
1459,1460000,23.753,-67.0
1461,1462000,16.1235,-266.0
1463,1464000,25.346,-28.0
1465,1466000,22.2304,-83.5
1467,1468000,25.1323,-57.0
1469,1470000,24.0309,-39.0
1471,1472000,24.9878,-28.0
1473,1474000,25.6342,-44.0
1475,1476000,23.4163,-57.5
1477,1478000,24.3994,-67.0
1479,1480000,24.6917,-133.0
1481,1482000,20.9013,-33.5
1483,1484000,25.0078,-38.5
1485,1486000,22.9678,-65.5
1487,1488000,25.3046,-65.0
1489,1490000,24.0794,-28.5
1491,1492000,24.7784,-51.5
1493,1494000,18.9897,-196.0
1495,1496000,23.2921,-25.0
1497,1498000,24.1677,-67.5
1499,1500000,24.7502,-49.5
1501,1502000,25.811,-76.5
1503,1504000,24.6445,-74.5
1505,1506000,23.9647,-121.0
1507,1508000,24.5334,-53.5
1509,1510000,24.5695,-41.0
1511,1512000,26.5484,-59.5
1513,1514000,25.4575,-39.5
1515,1516000,24.9815,-38.0
1517,1518000,24.8297,-44.0
1519,1520000,24.1315,-29.5
1521,1522000,24.0694,-121.0
1523,1524000,24.6908,-39.0
1525,1526000,23.9203,-55.0
1527,1528000,24.6119,-50.5
1529,1530000,24.5582,-41.5
1531,1532000,23.7057,-70.5
1533,1534000,23.6387,-68.0
1535,1536000,23.5359,-111.5
1537,1538000,25.6818,-54.0
1539,1540000,23.364,-52.5
1541,1542000,25.4491,-34.0
1543,1544000,25.8086,-47.0
1545,1546000,22.7871,-54.0
1547,1548000,24.0415,-34.0
1549,1550000,23.2516,-91.5
1551,1552000,23.902,-29.5
1553,1554000,25.3904,-46.5
1555,1556000,23.4361,-39.0
1557,1558000,21.1662,-78.0
1559,1560000,23.0616,-26.0
1561,1562000,20.4902,-158.0
1563,1564000,23.9094,-66.5
1565,1566000,24.7289,-55.5
1567,1568000,25.1682,-58.5
1569,1570000,22.6045,-37.5
1571,1572000,26.0481,-48.0
1573,1574000,24.4178,-92.5
1575,1576000,24.0389,-29.5
1577,1578000,25.6478,-84.0
1579,1580000,19.8801,-96.0
1581,1582000,26.0586,-76.0
1583,1584000,24.9127,-67.5
1585,1586000,24.534,-99.5
1587,1588000,23.9132,-93.5
1589,1590000,22.3652,-61.5
1591,1592000,23.3552,-48.0
1593,1594000,23.4815,-98.0
1595,1596000,24.4268,-71.0
1597,1598000,24.6674,-107.0
1599,1600000,23.7356,-103.5
1601,1602000,22.6042,-89.0
1603,1604000,24.1221,-76.0
1605,1606000,23.8656,-58.5
1607,1608000,23.6502,-63.0
1609,1610000,21.4011,-29.0
1611,1612000,24.8211,-73.0
1613,1614000,25.5995,-55.5
1615,1616000,24.6274,-11.0
1617,1618000,24.6469,-20.5
1619,1620000,26.4778,-41.5
1621,1622000,24.7094,-42.5
1623,1624000,24.4077,-64.0
1625,1626000,24.8776,-58.0
1627,1628000,25.1072,-15.5
1629,1630000,26.0524,-66.5
1631,1632000,23.4464,-107.5
1633,1634000,24.8476,-31.0
1635,1636000,24.1884,-87.5
1637,1638000,24.7717,-62.0
1639,1640000,24.8627,-72.0
1641,1642000,25.741,-34.5
1643,1644000,24.2118,-65.5
1645,1646000,23.9338,-65.5
1647,1648000,23.4471,-69.5
1649,1650000,25.6927,-50.5
1651,1652000,23.2095,-40.0
1653,1654000,25.9793,-73.5
1655,1656000,19.61,-271.0
1657,1658000,23.2314,-40.5
1659,1660000,24.9818,-65.0
1661,1662000,24.1505,-65.5
1663,1664000,23.2807,-21.0
1665,1666000,27.3683,-71.0
1667,1668000,23.7275,-18.5
1669,1670000,26.665,-56.0
1671,1672000,23.7413,-62.0
1673,1674000,23.1198,-88.5
1675,1676000,25.8805,-56.5
1677,1678000,22.0557,-94.0
1679,1680000,24.9738,-76.0
1681,1682000,26.2852,-34.0
1683,1684000,23.7152,-22.0
1685,1686000,22.8628,-18.5
1687,1688000,24.4757,-24.0
1689,1690000,24.0255,-53.0
1691,1692000,24.0256,-167.5
1693,1694000,24.0448,-48.5
1695,1696000,26.2888,-108.0
1697,1698000,23.4492,-53.5
1699,1700000,26.3365,-43.0
1701,1702000,26.4207,-43.5
1703,1704000,25.0935,-20.5
1705,1706000,26.1466,-66.0
1707,1708000,25.8141,-58.0
1709,1710000,24.2854,-69.5
1711,1712000,25.2817,-63.0
1713,1714000,22.4377,-61.5
1715,1716000,25.4584,-74.0
1717,1718000,27.6144,-55.0
1719,1720000,25.4373,-139.0
1721,1722000,24.4854,-39.5
1723,1724000,26.1838,-120.0
1725,1726000,24.0297,-81.0
1727,1728000,24.9481,-75.0
1729,1730000,24.8025,-64.5
1731,1732000,25.3733,-23.0
1733,1734000,22.3512,-54.5
1735,1736000,28.8704,-74.5
1737,1738000,25.6132,-62.0
1739,1740000,23.7214,-75.0
1741,1742000,23.8732,-80.5
1743,1744000,23.5697,-31.0
1745,1746000,24.1136,-62.5
1747,1748000,24.3302,-37.5
1749,1750000,25.3374,-101.5
1751,1752000,24.7351,-31.0
1753,1754000,26.3504,-70.5
1755,1756000,25.064,-44.5
1757,1758000,23.9119,-48.0
1759,1760000,24.6932,-19.5
1761,1762000,23.5455,-22.0
1763,1764000,24.9903,-43.5
1765,1766000,22.5675,-49.0
1767,1768000,25.2444,-67.0
1769,1770000,24.9539,-8.5
