episode,timestep,reward,cost
1049,1050000,6.3056,-16.5
1051,1052000,5.91,-80.5
1053,1054000,4.6097,0.0
1055,1056000,5.3419,0.0
1057,1058000,2.6432,-119.0
1059,1060000,0.3554,0.0
1061,1062000,5.4898,-6.5
1063,1064000,3.6728,-25.0
1065,1066000,0.4384,0.0
1067,1068000,4.078,0.0
1069,1070000,-0.0137,0.0
1071,1072000,6.6451,0.0
1073,1074000,6.1259,-66.5
1075,1076000,1.062,0.0
1077,1078000,4.293,-75.5
1079,1080000,11.6761,0.0
1081,1082000,1.5306,0.0
1083,1084000,6.9305,-36.5
1085,1086000,0.378,-115.0
1087,1088000,5.9463,-34.5
1089,1090000,4.2147,-262.5
1091,1092000,3.4552,0.0
1093,1094000,6.0628,0.0
1095,1096000,7.1948,-26.5
1097,1098000,2.9955,0.0
1099,1100000,5.1005,-21.5
1101,1102000,6.755,-67.0
1103,1104000,5.4444,-18.5
1105,1106000,1.7341,-64.5
1107,1108000,5.3156,-234.5
1109,1110000,3.2966,-4.5
1111,1112000,7.2424,-106.5
1113,1114000,1.2921,-185.5
1115,1116000,5.1774,-29.5
1117,1118000,1.9752,-118.5
1119,1120000,3.664,0.0
1121,1122000,3.1137,-104.5
1123,1124000,1.7891,-21.5
1125,1126000,3.8297,0.0
1127,1128000,4.0638,-5.5
1129,1130000,7.3379,-47.0
1131,1132000,5.8518,-128.5
1133,1134000,5.0783,0.0
1135,1136000,3.9805,-59.0
1137,1138000,4.5119,0.0
1139,1140000,4.1141,0.0
1141,1142000,3.1577,-165.5
1143,1144000,3.7585,0.0
1145,1146000,6.8206,-195.0
1147,1148000,0.2635,-49.5
1149,1150000,7.5984,-6.5
1151,1152000,6.1476,0.0
1153,1154000,4.1607,-144.0
1155,1156000,-0.3513,-265.0
1157,1158000,7.4579,-25.0
1159,1160000,6.7534,-42.5
1161,1162000,5.8188,-35.5
1163,1164000,2.0837,0.0
1165,1166000,8.4381,-102.5
1167,1168000,3.7518,-184.5
1169,1170000,4.8221,-26.0
1171,1172000,0.2516,-11.0
1173,1174000,5.6297,-345.5
1175,1176000,4.0653,-76.0
1177,1178000,1.0546,-2.5
1179,1180000,0.3978,0.0
1181,1182000,0.124,-375.0
1183,1184000,4.9601,-190.5
1185,1186000,3.9621,-31.5
1187,1188000,5.9828,-53.0
1189,1190000,6.1295,-131.0
1191,1192000,4.7736,0.0
1193,1194000,2.8741,-16.0
1195,1196000,5.6379,-153.0
1197,1198000,3.9304,0.0
1199,1200000,3.9275,-9.5
1201,1202000,5.6384,0.0
1203,1204000,5.2002,-22.5
1205,1206000,9.8864,-12.5
1207,1208000,1.4689,-121.5
1209,1210000,1.2396,-195.5
1211,1212000,8.3909,-59.5
1213,1214000,7.2676,-45.0
1215,1216000,6.4728,-35.5
1217,1218000,3.0595,-277.5
1219,1220000,0.6867,0.0
1221,1222000,8.7881,0.0
1223,1224000,1.0308,-6.0
1225,1226000,7.1228,0.0
1227,1228000,1.6006,0.0
1229,1230000,3.6653,-29.0
1231,1232000,0.809,-4.0
1233,1234000,4.2079,-325.0
1235,1236000,12.3462,-92.5
1237,1238000,5.1321,-80.5
1239,1240000,7.0076,-17.0
1241,1242000,3.4203,-127.0
1243,1244000,7.433,-171.5
1245,1246000,6.1176,-26.5
1247,1248000,6.429,0.0
1249,1250000,3.1321,-11.0
1251,1252000,0.9865,0.0
1253,1254000,6.1556,-63.5
1255,1256000,9.5085,-27.0
1257,1258000,4.0627,-38.0
1259,1260000,7.0964,-78.0
1261,1262000,7.3775,0.0
1263,1264000,4.0882,-28.0
1265,1266000,8.821,-47.5
1267,1268000,7.359,-10.0
1269,1270000,4.9003,-199.0
1271,1272000,5.1678,-10.0
1273,1274000,7.0266,-11.5
1275,1276000,8.1513,-17.5
1277,1278000,5.5507,-32.0
1279,1280000,2.033,-49.0
1281,1282000,0.4052,-13.5
1283,1284000,3.0246,-5.0
1285,1286000,5.0423,-48.5
1287,1288000,1.4817,-13.5
1289,1290000,4.5752,-55.5
1291,1292000,3.4333,-33.0
1293,1294000,3.4908,-34.0
1295,1296000,2.5726,-33.0
1297,1298000,3.8104,0.0
1299,1300000,1.6813,-208.0
1301,1302000,0.7793,0.0
1303,1304000,1.4118,0.0
1305,1306000,8.2299,0.0
1307,1308000,4.2878,0.0
1309,1310000,0.8654,-19.0
1311,1312000,2.2733,-113.0
1313,1314000,2.687,0.0
1315,1316000,3.6312,-77.5
1317,1318000,0.5916,0.0
1319,1320000,1.7264,0.0
1321,1322000,6.1012,-32.5
1323,1324000,2.9035,0.0
1325,1326000,4.6963,0.0
1327,1328000,5.068,-3.5
1329,1330000,8.812,-40.0
1331,1332000,2.4022,-81.0
1333,1334000,5.9725,-64.5
1335,1336000,9.3656,-18.0
1337,1338000,6.076,-134.0
1339,1340000,2.0024,-34.5
1341,1342000,6.7671,-102.0
1343,1344000,9.9088,0.0
1345,1346000,6.5651,-27.0
1347,1348000,3.2829,-85.0
1349,1350000,8.0404,-37.0
1351,1352000,5.6402,-16.5
1353,1354000,4.5168,-31.0
1355,1356000,4.6011,-39.5
1357,1358000,8.2726,-89.0
1359,1360000,5.256,-19.0
1361,1362000,1.7039,-51.0
1363,1364000,9.0113,-95.5
1365,1366000,9.1203,-14.0
1367,1368000,6.4047,-109.5
1369,1370000,8.8541,-65.0
1371,1372000,8.6176,0.0
1373,1374000,10.6009,-13.5
1375,1376000,0.1705,-331.0
1377,1378000,3.9687,-64.0
1379,1380000,10.4293,-39.5
1381,1382000,8.3939,-104.0
1383,1384000,6.9844,-45.5
1385,1386000,6.0494,-8.5
1387,1388000,8.5259,-31.5
1389,1390000,11.3436,-81.0
1391,1392000,10.5281,0.0
1393,1394000,7.7797,-34.5
1395,1396000,5.8564,-62.5
1397,1398000,4.6157,-20.5
1399,1400000,2.2773,0.0
1401,1402000,4.3849,-20.5
1403,1404000,3.7524,-107.0
1405,1406000,8.5816,0.0
1407,1408000,9.3341,-89.0
1409,1410000,6.3058,-105.0
1411,1412000,7.1713,-67.5
1413,1414000,8.5014,-37.0
1415,1416000,6.8942,-52.5
1417,1418000,2.2888,0.0
1419,1420000,5.0446,-25.5
1421,1422000,1.7567,0.0
1423,1424000,5.704,-390.5
1425,1426000,4.8501,-36.5
1427,1428000,8.1264,0.0
1429,1430000,11.427,0.0
1431,1432000,6.3691,-5.0
1433,1434000,9.6699,-77.0
1435,1436000,1.6156,-357.5
1437,1438000,5.834,-52.5
1439,1440000,6.9228,-25.5
1441,1442000,7.0723,-59.0
1443,1444000,8.4355,-25.5
1445,1446000,4.9688,0.0
1447,1448000,8.462,-16.0
1449,1450000,3.9095,0.0
1451,1452000,11.0872,-49.5
1453,1454000,1.9057,-63.0
1455,1456000,3.7347,-106.5
1457,1458000,9.2951,-11.5
1459,1460000,11.4227,0.0
1461,1462000,6.5659,-21.0
1463,1464000,4.7553,0.0
1465,1466000,7.8921,-65.0
1467,1468000,2.6146,-42.0
1469,1470000,4.2361,0.0
1471,1472000,9.4192,-33.5
1473,1474000,5.1832,0.0
1475,1476000,2.8147,-41.0
1477,1478000,9.2064,-67.5
1479,1480000,10.594,-37.0
1481,1482000,8.006,-37.0
1483,1484000,9.036,-76.5
1485,1486000,3.1432,-83.0
1487,1488000,6.281,-38.5
1489,1490000,0.4034,0.0
1491,1492000,5.9663,-220.5
1493,1494000,8.7926,-22.5
1495,1496000,7.4766,0.0
1497,1498000,4.2484,0.0
1499,1500000,6.4886,-51.0
1501,1502000,11.4549,-70.0
1503,1504000,5.6736,0.0
1505,1506000,5.4476,-13.5
1507,1508000,2.1064,-36.5
1509,1510000,3.7495,0.0
1511,1512000,6.4138,-104.5
1513,1514000,10.0833,0.0
1515,1516000,3.7468,-179.0
1517,1518000,5.6963,-73.5
1519,1520000,0.1544,0.0
1521,1522000,5.2459,-11.5
1523,1524000,11.7446,-8.5
1525,1526000,0.7088,-178.5
1527,1528000,6.3898,-112.5
1529,1530000,2.4436,-58.0
1531,1532000,6.0773,-55.0
1533,1534000,3.1616,-16.0
1535,1536000,10.6738,-27.5
1537,1538000,6.6223,-56.0
1539,1540000,6.2807,-291.5
1541,1542000,7.5722,-61.5
1543,1544000,6.5228,-26.0
1545,1546000,4.1737,-110.0
1547,1548000,5.2841,0.0
1549,1550000,0.2604,-175.5
1551,1552000,5.0287,-40.5
1553,1554000,5.8405,-37.0
1555,1556000,8.5035,-84.5
1557,1558000,4.046,-30.0
1559,1560000,3.4351,0.0
1561,1562000,6.3456,-33.0
1563,1564000,7.397,-130.5
1565,1566000,6.6493,-38.0
1567,1568000,7.0057,-137.0
1569,1570000,9.8219,-75.5
1571,1572000,3.6063,-139.5
1573,1574000,9.0171,-79.5
1575,1576000,8.1626,0.0
1577,1578000,7.6128,-69.0
1579,1580000,8.6023,-40.0
1581,1582000,7.9702,-57.5
1583,1584000,8.3877,-31.0
1585,1586000,7.8147,-86.0
1587,1588000,3.0519,-22.0
1589,1590000,5.2082,0.0
1591,1592000,0.2709,-11.0
1593,1594000,10.1445,-24.0
1595,1596000,4.7518,-28.0
1597,1598000,3.8546,-119.5
1599,1600000,7.4263,-49.0
1601,1602000,3.5775,-25.5
1603,1604000,7.5366,-20.0
1605,1606000,8.3016,-11.5
1607,1608000,7.0802,-29.0
1609,1610000,5.7492,-23.0
1611,1612000,8.8778,0.0
1613,1614000,6.8086,-74.5
1615,1616000,0.2262,-161.0
1617,1618000,4.8261,-43.5
1619,1620000,3.0856,-15.5
1621,1622000,7.0543,-14.0
1623,1624000,2.6958,-13.5
1625,1626000,4.7394,-83.5
1627,1628000,8.9521,-23.5
1629,1630000,7.4141,-14.0
1631,1632000,7.2021,-111.5
1633,1634000,9.6164,-19.5
1635,1636000,3.6422,0.0
1637,1638000,8.455,-62.0
1639,1640000,2.3183,-19.5
1641,1642000,4.6511,-161.5
1643,1644000,3.5771,-73.0
1645,1646000,6.2941,-197.5
1647,1648000,2.7274,-91.0
1649,1650000,9.0031,-6.0
1651,1652000,5.0671,-48.0
1653,1654000,4.6963,-117.5
1655,1656000,8.9201,0.0
1657,1658000,4.1032,-114.0
1659,1660000,6.1624,-12.5
1661,1662000,8.9572,-69.0
1663,1664000,8.0356,-46.5
1665,1666000,9.037,-118.0
1667,1668000,8.2775,-23.5
1669,1670000,4.1469,-56.5
1671,1672000,4.4147,-38.0
1673,1674000,3.6431,-18.5
1675,1676000,6.463,-91.5
1677,1678000,9.6934,-75.5
1679,1680000,5.5702,-14.5
1681,1682000,4.1,-11.5
1683,1684000,6.7728,-67.5
1685,1686000,12.77,0.0
1687,1688000,5.8199,0.0
1689,1690000,4.2581,-23.0
1691,1692000,1.9555,-62.0
1693,1694000,6.1297,-50.0
1695,1696000,3.8504,0.0
1697,1698000,6.6862,-20.0
1699,1700000,6.1981,0.0
1701,1702000,6.8797,-56.0
1703,1704000,7.9357,-14.0
1705,1706000,5.4676,-77.0
1707,1708000,9.3382,-6.0
1709,1710000,2.6728,-50.5
1711,1712000,5.6165,-59.0
1713,1714000,7.5016,-7.5
1715,1716000,8.6433,-83.5
1717,1718000,10.1646,-78.5
1719,1720000,3.0746,-19.0
1721,1722000,9.5661,-49.0
1723,1724000,2.0757,-10.0
1725,1726000,8.6455,-20.5
1727,1728000,7.8231,-115.5
1729,1730000,9.9538,-16.0
1731,1732000,7.2635,-29.0
1733,1734000,8.4,-14.0
1735,1736000,7.5867,-55.5
1737,1738000,6.7502,-109.0
1739,1740000,7.8298,-55.0
1741,1742000,5.1316,-16.5
1743,1744000,4.6934,-34.5
1745,1746000,6.5806,-16.0
1747,1748000,8.9201,-110.5
1749,1750000,5.2493,0.0
1751,1752000,2.7537,-61.5
1753,1754000,8.9015,-31.0
1755,1756000,9.719,-25.5
1757,1758000,9.8252,-38.0
1759,1760000,9.9086,-74.5
1761,1762000,6.3217,-16.5
1763,1764000,3.8285,-64.5
1765,1766000,8.1678,0.0
1767,1768000,5.6101,-85.0
1769,1770000,6.2546,0.0
1771,1772000,6.0819,-35.5
1773,1774000,11.7325,-44.5
1775,1776000,8.1253,-67.0
1777,1778000,10.3642,-77.0
1779,1780000,2.3884,-203.5
1781,1782000,4.8675,-44.0
1783,1784000,5.8478,-130.5
1785,1786000,5.513,-23.5
1787,1788000,7.6061,-70.5
